Domain,Type,Sponsoring Organization,Date
.blackfriday,generic,"Registry Services, LLC",2025-07-19
.blanco,generic,Not assigned,2025-07-19
.blockbuster,generic,Dish DBS Corporation,2025-07-19
.blog,generic,"Knock Knock WHOIS There, LLC",2025-07-19
.bloomberg,generic,Bloomberg IP Holdings LLC,2025-07-19
.blue,generic,Identity Digital Limited,2025-07-19
.bms,generic,Bristol-Myers Squibb Company,2025-07-19
.bmw,generic,Bayerische Motoren Werke Aktiengesellschaft,2025-07-19
.bnl,generic,Not assigned,2025-07-19
.bnpparibas,generic,BNP Paribas,2025-07-19
.boats,generic,XYZ.COM LLC,2025-07-19
.boehringer,generic,Boehringer Ingelheim International GmbH,2025-07-19
.bofa,generic,Bank of America Corporation,2025-07-19
.bom,generic,Núcleo de Informação e Coordenação do Ponto BR - NIC.br,2025-07-19
.bond,generic,Shortdot SA,2025-07-19
.boo,generic,Charleston Road Registry Inc.,2025-07-19
.book,generic,"Amazon Registry Services, Inc.",2025-07-19
.booking,generic,Booking.com B.V.,2025-07-19
.boots,generic,Not assigned,2025-07-19
.bosch,generic,Robert Bosch GMBH,2025-07-19
.bostik,generic,Bostik SA,2025-07-19
.boston,generic,"Registry Services, LLC",2025-07-19
.bot,generic,"Amazon Registry Services, Inc.",2025-07-19
.boutique,generic,"Binky Moon, LLC",2025-07-19
.box,generic,Intercap Registry Inc.,2025-07-19
.bradesco,generic,Banco Bradesco S.A.,2025-07-19
.bridgestone,generic,Bridgestone Corporation,2025-07-19
.broadway,generic,"Celebrate Broadway, Inc.",2025-07-19
.broker,generic,"Dog Beach, LLC",2025-07-19
.brother,generic,"Brother Industries, Ltd.",2025-07-19
.brussels,generic,DNS.be vzw,2025-07-19
.budapest,generic,Not assigned,2025-07-19
.bugatti,generic,Not assigned,2025-07-19
.build,generic,Plan Bee LLC,2025-07-19
.builders,generic,"Binky Moon, LLC",2025-07-19
.business,generic,"Binky Moon, LLC",2025-07-19
.buy,generic,"Amazon Registry Services, INC",2025-07-19
.buzz,generic,DOTSTRATEGY CO.,2025-07-19
.bzh,generic,Association www.bzh,2025-07-19
.cab,generic,"Binky Moon, LLC",2025-07-19
.cafe,generic,"Binky Moon, LLC",2025-07-19
.cal,generic,Charleston Road Registry Inc.,2025-07-19
.call,generic,"Amazon Registry Services, Inc.",2025-07-19
.calvinklein,generic,PVH gTLD Holdings LLC,2025-07-19
.cam,generic,CAM Connecting SARL,2025-07-19
